LONG,LAT,Cor_nT
322570.39,1019720.64,32997.6537
322570.06,1019720.6,32997.7886
322569.63,1019720.34,32997.2824
322568.59,1019720.87,32997.2912
322568.28,1019720.66,32997.4205
322568.24,1019720.71,32997.5856
322568.43,1019720.94,32997.3682
322567.9,1019721.18,32997.4936
322566.8,1019720.97,32996.6141
322566.8,1019721.62,32996.4263
322565.84,1019721.73,32996.64
322565.58,1019722.37,32996.5363
322564.77,1019722.46,32996.4881
322564.66,1019722.77,32995.4981
322564.45,1019723,32996.5017
322563.77,1019723.06,32994.986
322563.15,1019722.95,32995.3785
322563.04,1019722.74,32993.9262
322562.27,1019722.34,32993.369
322561.34,1019722.09,32992.4166
322560.4,1019721.73,32991.3647
322559.86,1019721.61,32990.8196
322558.9,1019721.86,32989.865
322558.18,1019721.48,32988.786
322557.11,1019721.72,32987.8668
322556.31,1019721.84,32986.3189
322555.47,1019721.89,32985.3353
322554.27,1019722.3,32983.4318
322553.49,1019722.51,32981.9468
322552.86,1019722.42,32982.6514
322552.19,1019722.98,32984.8024
322551.31,1019723.22,32987.1956
322550.62,1019723.06,32989.4095
322550.33,1019723.67,32989.8491
322549.82,1019723.81,32989.0603
322549.9,1019724.05,32988.0697
322549.85,1019724.12,32987.8305
322549.24,1019724.04,32987.5068
322548.72,1019724.75,32986.7383
322548.74,1019724.55,32986.6344
322548.81,1019724.44,32986.3105
322548.81,1019724.39,32986.1092
322548.81,1019724.4,32986.0216
322548.81,1019724.4,32986.227
322548.81,1019724.42,32985.5591
322548.84,1019724.44,32984.0821
322548.99,1019724.54,32984.7188
322548.76,1019724.66,32984.8605
322548.77,1019724.65,32984.9742
322548.82,1019724.59,32984.743
322548.79,1019724.53,32984.535
322548.81,1019724.56,32984.492
322548.81,1019724.58,32984.5272
322548.81,1019724.64,32984.5739
322548.43,1019724.68,32984.678
322548.04,1019724.47,32984.6783
322548,1019724.56,32985.3445
322548.12,1019724.64,32984.0001
322548.14,1019724.6,32982.6395
322548.11,1019724.61,32982.0576
322547.73,1019725.15,32983.7217
322546.78,1019725.65,32986.4727
322546.54,1019726.17,32990.5902
322545.84,1019726.68,32992.2651
322545.44,1019727.17,32994.3782
322545.05,1019727.45,32994.2191
322544.34,1019727.94,32996.156
322544,1019728.51,32995.9672
322544.01,1019728.93,32837.4632
322544.41,1019729.67,31482.1841
322544.67,1019730.28,32972.6597
322544.59,1019731.02,32999.775
322544.5,1019731.49,33000.1989
322544.37,1019731.91,33001.2038
322543.81,1019731.97,33001.0737
322543.3,1019732.23,33001.5894
322543.06,1019732.03,33000.3029
322542.86,1019732.52,33000.8439
322542.33,1019732.73,33001.5779
322541.89,1019733.01,33001.703
322538.26,1019731.81,32999.6836
322538.26,1019731.76,32999.7365
322538.2,1019731.5,32999.5041
322538.3,1019731.54,32999.3448
322538.27,1019731.69,32999.6411
322538.26,1019731.64,32999.5963
322538.25,1019731.65,32999.5606
322538.28,1019731.61,32999.5109
322538.27,1019731.57,32999.455
322538.27,1019731.51,32999.2549
322538.27,1019731.48,32999.3503
322538.18,1019731.55,32999.4547
322538.07,1019731.55,32999.4027
322538.1,1019731.53,32999.2126
322538.09,1019731.65,32999.217
322546.1,1019735.78,33000.3925
322545.86,1019735.96,33000.4807
322545.68,1019735.88,33000.5373
322545.34,1019736.52,33000.1233
322544.57,1019736.94,32998.8422
322544.09,1019737.9,32964.5794
322543.35,1019738.35,32964.5871
322542.63,1019738.21,32998.0497
322541.65,1019738.35,32998.99
322541.18,1019738.15,32999.2316
322540.93,1019738.69,32998.9649
322540.43,1019738.56,32998.4392
322540.41,1019738.67,32998.9433
322540.84,1019738.8,27508.7806
322541.13,1019738.7,32965.8952
322540.89,1019744.19,33002.6737
322540.29,1019745.18,33003.192
322540,1019745.86,33005.7927
322539.22,1019746.44,33005.4608
322538.53,1019746.64,33004.1847
322537.72,1019747.28,33003.7422
322537.07,1019747.65,33002.1449
322536.57,1019747.39,33001.6205
322535.84,1019747.57,32999.8585
322535.05,1019747.05,32998.7309
322533.92,1019747,32997.6856
322533.12,1019747.3,32997.2148
322532.16,1019746.9,32996.6348
